source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0019538,protein metabolic process,1.5566152471491347e-108,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4813,5289,1823,21017,0.34467763282283986,0.3787658425098691,query_1,"['GO:0043170', 'GO:0044238']"
GO:BP,GO:0009056,catabolic process,1.0089195002383952e-83,True,"""A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]",2562,5289,1071,21017,0.20249574588769143,0.4180327868852459,query_1,['GO:0008152']
GO:BP,GO:0048518,positive regulation of biological process,1.0919883079126622e-75,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6235,5289,2119,21017,0.4006428436377387,0.33985565356856456,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0006996,organelle organization,1.2974245757303244e-72,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3570,5289,1349,21017,0.25505766685573833,0.37787114845938374,query_1,['GO:0016043']
GO:BP,GO:0048522,positive regulation of cellular process,3.9840652046053023e-72,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5886,5289,2010,21017,0.38003403289846854,0.3414882772680938,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0043412,macromolecule modification,7.228636018811562e-71,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",3129,5289,1211,21017,0.22896577802987333,0.3870246085011186,query_1,['GO:0043170']
GO:BP,GO:0033554,cellular response to stress,1.0447739306110683e-67,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1786,5289,779,21017,0.14728682170542637,0.43617021276595747,query_1,"['GO:0006950', 'GO:0051716']"
GO:BP,GO:0006950,response to stress,5.5499602916072104e-64,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3876,5289,1411,21017,0.26678010966156174,0.36403508771929827,query_1,['GO:0050896']
GO:BP,GO:0036211,protein modification process,1.7290896479649365e-62,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2947,5289,1130,21017,0.21365097371903952,0.3834407872412623,query_1,"['GO:0019538', 'GO:0043412']"
GO:BP,GO:0051641,cellular localization,4.37233310847436e-62,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",3625,5289,1331,21017,0.2516543770088864,0.36717241379310345,query_1,"['GO:0009987', 'GO:0051179']"
