query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	2.79830096134735e-08	1371	155	36	0.232258064516129	0.0262582056892779	GO:0046907	GO:BP	intracellular transport	21017	12431	GO:0006810,GO:0051641,GO:0051649
query_1	TRUE	2.91373870147867e-07	4341	155	67	0.432258064516129	0.0154342317438378	GO:0006810	GO:BP	transport	21017	2490	GO:0051234
query_1	TRUE	1.79799635998784e-06	5521	155	76	0.490322580645161	0.0137656221698968	GO:0051179	GO:BP	localization	21017	13558	GO:0008150
query_1	TRUE	2.29341511522112e-06	3211	155	54	0.348387096774194	0.0168171909062597	GO:0033036	GO:BP	macromolecule localization	21017	7996	GO:0051179
query_1	TRUE	5.43562957092588e-06	1909	155	39	0.251612903225806	0.0204295442640126	GO:0071705	GO:BP	nitrogen compound transport	21017	16869	GO:0006810
query_1	TRUE	6.03379302193066e-06	1428	155	33	0.212903225806452	0.023109243697479	GO:0015031	GO:BP	protein transport	21017	4795	GO:0045184,GO:0071705
query_1	TRUE	6.04239203010179e-06	4869	155	69	0.445161290322581	0.0141712877387554	GO:0051234	GO:BP	establishment of localization	21017	13584	GO:0051179
query_1	TRUE	1.21665217614803e-05	685	155	22	0.141935483870968	0.0321167883211679	GO:0006886	GO:BP	intracellular protein transport	21017	2542	GO:0008104,GO:0015031,GO:0046907
query_1	TRUE	2.28700147165728e-05	2738	155	47	0.303225806451613	0.0171658144631118	GO:0008104	GO:BP	protein localization	21017	3123	GO:0070727
query_1	TRUE	2.33643682383052e-05	1925	155	38	0.245161290322581	0.0197402597402597	GO:0045184	GO:BP	establishment of protein localization	21017	11313	GO:0008104,GO:0051234
query_1	TRUE	2.59694510816909e-05	2749	155	47	0.303225806451613	0.0170971262277192	GO:0070727	GO:BP	cellular macromolecule localization	21017	16276	GO:0033036,GO:0051641
query_1	TRUE	2.78551794827056e-05	2947	155	49	0.316129032258064	0.0166270783847981	GO:0036211	GO:BP	protein modification process	21017	9496	GO:0019538,GO:0043412
query_1	TRUE	6.87245511542495e-05	3129	155	50	0.32258064516129	0.0159795461808885	GO:0043412	GO:BP	macromolecule modification	21017	10679	GO:0043170
