query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.000331519316149455	160	80	8	0.1	0.05	GO:0002181	GO:BP	cytoplasmic translation	21017	729	GO:0006412
query_1	TRUE	0.000983299635225469	721	80	14	0.175	0.0194174757281553	GO:0006412	GO:BP	translation	21017	2170	GO:0009059,GO:0010467,GO:0019538
query_1	TRUE	0.00202583097129836	6	80	3	0.0375	0.5	GO:0033634	GO:BP	positive regulation of cell-cell adhesion mediated by integrin	21017	8335	GO:0022409,GO:0033630,GO:0033631,GO:0033632
query_1	TRUE	0.00244256570279272	558	80	12	0.15	0.021505376344086	GO:0042110	GO:BP	T cell activation	21017	9970	GO:0046649
query_1	TRUE	0.0164848780027706	11	80	3	0.0375	0.272727272727273	GO:0033632	GO:BP	regulation of cell-cell adhesion mediated by integrin	21017	8333	GO:0022407,GO:0033628,GO:0033631
query_1	TRUE	0.0254576333001593	1526	80	18	0.225	0.0117955439056356	GO:0002682	GO:BP	regulation of immune system process	21017	1200	GO:0002376,GO:0050789
query_1	TRUE	0.0377209511683211	218	80	7	0.0875	0.0321100917431193	GO:0042594	GO:BP	response to starvation	21017	10254	GO:0006950,GO:0031667
query_1	TRUE	0.0452508893969242	44	80	4	0.05	0.0909090909090909	GO:0043368	GO:BP	positive T cell selection	21017	10645	GO:0045058
query_1	FALSE	0.059461721988447	5486	80	38	0.475	0.00692672256653299	GO:0080090	GO:BP	regulation of primary metabolic process	21017	17800	GO:0019222,GO:0044238
query_1	FALSE	0.0668268207551207	17	80	3	0.0375	0.176470588235294	GO:0033631	GO:BP	cell-cell adhesion mediated by integrin	21017	8332	GO:0033627,GO:0098609
query_1	FALSE	0.0781269979467353	787	80	12	0.15	0.0152477763659466	GO:0046649	GO:BP	lymphocyte activation	21017	12286	GO:0045321
query_1	FALSE	0.0816343503803446	51	80	4	0.05	0.0784313725490196	GO:0042149	GO:BP	cellular response to glucose starvation	21017	9992	GO:0009267
query_1	FALSE	0.111538520439394	951	80	13	0.1625	0.0136698212407992	GO:0045321	GO:BP	leukocyte activation	21017	11356	GO:0001775,GO:0002376
query_1	FALSE	0.113059144701893	177	80	6	0.075	0.0338983050847458	GO:0009267	GO:BP	cellular response to starvation	21017	3432	GO:0031669,GO:0033554,GO:0042594
query_1	FALSE	0.1189979488674	1098	80	14	0.175	0.0127504553734062	GO:0001775	GO:BP	cell activation	21017	440	GO:0009987,GO:0032501
query_1	FALSE	0.121415350413143	574	80	10	0.125	0.0174216027874564	GO:0061919	GO:BP	process utilizing autophagic mechanism	21017	15723	GO:0009987
query_1	FALSE	0.121415350413143	574	80	10	0.125	0.0174216027874564	GO:0006914	GO:BP	autophagy	21017	2563	GO:0009056,GO:0061919
query_1	FALSE	0.125657327226292	358	80	8	0.1	0.0223463687150838	GO:0010506	GO:BP	regulation of autophagy	21017	4181	GO:0006914,GO:0009894
query_1	FALSE	0.126822265381788	57	80	4	0.05	0.0701754385964912	GO:0045058	GO:BP	T cell selection	21017	11256	GO:0002376,GO:0030217
query_1	FALSE	0.12797908226553	181	80	6	0.075	0.0331491712707182	GO:0046631	GO:BP	alpha-beta T cell activation	21017	12268	GO:0042110
query_1	FALSE	0.134038008024981	7076	80	44	0.55	0.00621820237422272	GO:0019222	GO:BP	regulation of metabolic process	21017	5599	GO:0008152,GO:0050794
query_1	FALSE	0.137806545518235	971	80	13	0.1625	0.0133882595262616	GO:0030097	GO:BP	hemopoiesis	21017	6675	GO:0048468
query_1	FALSE	0.149279741820681	22	80	3	0.0375	0.136363636363636	GO:0033630	GO:BP	positive regulation of cell adhesion mediated by integrin	21017	8331	GO:0033627,GO:0033628,GO:0045785
query_1	FALSE	0.164282981714491	4	80	2	0.025	0.5	GO:0140468	GO:BP	HRI-mediated signaling	21017	19789	GO:0140467
query_1	FALSE	0.198440508280748	1458	80	16	0.2	0.0109739368998628	GO:0042981	GO:BP	regulation of apoptotic process	21017	10465	GO:0006915,GO:0043067
query_1	FALSE	0.208143127060526	872	80	12	0.15	0.0137614678899083	GO:0043066	GO:BP	negative regulation of apoptotic process	21017	10512	GO:0006915,GO:0042981,GO:0043069
query_1	FALSE	0.21477124306568	3648	80	28	0.35	0.00767543859649123	GO:0009893	GO:BP	positive regulation of metabolic process	21017	3753	GO:0008152,GO:0019222,GO:0048522
query_1	FALSE	0.229962910982328	501	80	9	0.1125	0.0179640718562874	GO:0031667	GO:BP	response to nutrient levels	21017	7271	GO:0050896
query_1	FALSE	0.248502185395613	128	80	5	0.0625	0.0390625	GO:0006275	GO:BP	regulation of DNA replication	21017	2090	GO:0006260,GO:0051052
query_1	FALSE	0.257172779247177	6535	80	41	0.5125	0.00627390971690895	GO:0060255	GO:BP	regulation of macromolecule metabolic process	21017	14472	GO:0019222,GO:0043170
query_1	FALSE	0.269781593263872	1497	80	16	0.2	0.010688042752171	GO:0043067	GO:BP	regulation of programmed cell death	21017	10513	GO:0012501,GO:0050794
query_1	FALSE	0.274150083019706	898	80	12	0.15	0.0133630289532294	GO:0043069	GO:BP	negative regulation of programmed cell death	21017	10515	GO:0012501,GO:0043067,GO:0048523
query_1	FALSE	0.349830645487446	1066	80	13	0.1625	0.0121951219512195	GO:0002684	GO:BP	positive regulation of immune system process	21017	1202	GO:0002376,GO:0002682,GO:0048518
query_1	FALSE	0.351670248637816	3349	80	26	0.325	0.00776351149596895	GO:0010604	GO:BP	positive regulation of macromolecule metabolic process	21017	4251	GO:0009893,GO:0043170,GO:0060255
query_1	FALSE	0.364516695159698	4813	80	33	0.4125	0.0068564305007272	GO:0019538	GO:BP	protein metabolic process	21017	5872	GO:0043170,GO:0044238
query_1	FALSE	0.389960461643114	76	80	4	0.05	0.0526315789473684	GO:0032729	GO:BP	positive regulation of type II interferon production	21017	7774	GO:0001819,GO:0032609,GO:0032649
query_1	FALSE	0.409443597192546	2796	80	23	0.2875	0.00822603719599428	GO:0002376	GO:BP	immune system process	21017	906	GO:0008150
query_1	FALSE	0.499312740257602	1919	80	18	0.225	0.00937988535695675	GO:0006915	GO:BP	apoptotic process	21017	2564	GO:0012501
query_1	FALSE	0.513161836532604	33	80	3	0.0375	0.0909090909090909	GO:0032633	GO:BP	interleukin-4 production	21017	7680	GO:0001816
query_1	FALSE	0.513161836532604	33	80	3	0.0375	0.0909090909090909	GO:0032673	GO:BP	regulation of interleukin-4 production	21017	7719	GO:0001817,GO:0032633
query_1	FALSE	0.67839010766317	246	80	6	0.075	0.024390243902439	GO:0031669	GO:BP	cellular response to nutrient levels	21017	7272	GO:0031667,GO:0051716
query_1	FALSE	0.698834740942338	2707	80	22	0.275	0.00812707794606576	GO:0009891	GO:BP	positive regulation of biosynthetic process	21017	3751	GO:0009058,GO:0009889,GO:0009893
query_1	FALSE	0.732299120068859	1980	80	18	0.225	0.00909090909090909	GO:0012501	GO:BP	programmed cell death	21017	4572	GO:0008219
query_1	FALSE	0.750451625607142	1984	80	18	0.225	0.00907258064516129	GO:0008219	GO:BP	cell death	21017	3146	GO:0009987
query_1	FALSE	0.807519418382839	2928	80	23	0.2875	0.0078551912568306	GO:0051239	GO:BP	regulation of multicellular organismal process	21017	13589	GO:0032501,GO:0050789
query_1	FALSE	0.94159344375058	366	80	7	0.0875	0.0191256830601093	GO:1903037	GO:BP	regulation of leukocyte cell-cell adhesion	21017	22717	GO:0007159,GO:0022407
query_1	FALSE	0.958762546299635	1030	80	12	0.15	0.0116504854368932	GO:0009894	GO:BP	regulation of catabolic process	21017	3754	GO:0009056,GO:0019222
query_1	FALSE	1	75	80	1	0.0125	0.0133333333333333	GO:0050795	GO:BP	regulation of behavior	21017	13263	GO:0007610,GO:0051239
query_1	FALSE	1	172	80	2	0.025	0.0116279069767442	GO:0050796	GO:BP	regulation of insulin secretion	21017	13264	GO:0030073,GO:0050708,GO:0090276
query_1	FALSE	1	608	80	6	0.075	0.00986842105263158	GO:0050801	GO:BP	monoatomic ion homeostasis	21017	13267	GO:0048878
query_1	FALSE	1	132	80	1	0.0125	0.00757575757575758	GO:2000779	GO:BP	regulation of double-strand break repair	21017	26035	GO:0006282,GO:0006302
query_1	FALSE	1	249	80	1	0.0125	0.00401606425702811	GO:0050803	GO:BP	regulation of synapse structure or activity	21017	13269	GO:0065008
query_1	FALSE	1	97	80	1	0.0125	0.0103092783505155	GO:0050764	GO:BP	regulation of phagocytosis	21017	13238	GO:0006909,GO:0030100
query_1	FALSE	1	490	80	3	0.0375	0.00612244897959184	GO:0050804	GO:BP	modulation of chemical synaptic transmission	21017	13270	GO:0007268,GO:0099177
query_1	FALSE	1	177	80	1	0.0125	0.00564971751412429	GO:0050806	GO:BP	positive regulation of synaptic transmission	21017	13272	GO:0007268,GO:0010647,GO:0023056,GO:0050804
query_1	FALSE	1	242	80	1	0.0125	0.00413223140495868	GO:0050807	GO:BP	regulation of synapse organization	21017	13273	GO:0050803,GO:0050808,GO:0051128
query_1	FALSE	1	485	80	2	0.025	0.00412371134020619	GO:0050808	GO:BP	synapse organization	21017	13274	GO:0034330
query_1	FALSE	1	148	80	1	0.0125	0.00675675675675676	GO:0050714	GO:BP	positive regulation of protein secretion	21017	13225	GO:0009306,GO:0050708,GO:0051222,GO:1903532
query_1	FALSE	1	11876	80	52	0.65	0.00437857864600876	GO:0050794	GO:BP	regulation of cellular process	21017	13262	GO:0009987,GO:0050789
query_1	FALSE	1	2453	80	11	0.1375	0.00448430493273543	GO:0050793	GO:BP	regulation of developmental process	21017	13261	GO:0032502,GO:0050789
query_1	FALSE	1	169	80	4	0.05	0.0236686390532544	GO:0050792	GO:BP	regulation of viral process	21017	13260	GO:0016032,GO:0050789
query_1	FALSE	1	164	80	3	0.0375	0.0182926829268293	GO:0050731	GO:BP	positive regulation of peptidyl-tyrosine phosphorylation	21017	13230	GO:0001934,GO:0018108,GO:0050730
query_1	FALSE	1	163	80	2	0.025	0.0122699386503067	GO:0050728	GO:BP	negative regulation of inflammatory response	21017	13227	GO:0006954,GO:0031348,GO:0032102,GO:0050727
query_1	FALSE	1	1015	80	4	0.05	0.00394088669950739	GO:0050790	GO:BP	regulation of catalytic activity	21017	13259	GO:0065009
query_1	FALSE	1	12278	80	52	0.65	0.00423521746212738	GO:0050789	GO:BP	regulation of biological process	21017	13258	GO:0008150,GO:0065007
query_1	FALSE	1	233	80	2	0.025	0.00858369098712446	GO:0050817	GO:BP	coagulation	21017	13279	GO:0032501
query_1	FALSE	1	732	80	8	0.1	0.0109289617486339	GO:0050778	GO:BP	positive regulation of immune response	21017	13252	GO:0002684,GO:0006955,GO:0048584,GO:0050776
query_1	FALSE	1	192	80	1	0.0125	0.00520833333333333	GO:0050777	GO:BP	negative regulation of immune response	21017	13251	GO:0002683,GO:0006955,GO:0048585,GO:0050776
query_1	FALSE	1	897	80	9	0.1125	0.0100334448160535	GO:0050776	GO:BP	regulation of immune response	21017	13250	GO:0002682,GO:0006955,GO:0048583
query_1	FALSE	1	147	80	1	0.0125	0.00680272108843537	GO:0050729	GO:BP	positive regulation of inflammatory response	21017	13228	GO:0006954,GO:0031349,GO:0032103,GO:0050727
query_1	FALSE	1	244	80	1	0.0125	0.00409836065573771	GO:0050769	GO:BP	positive regulation of neurogenesis	21017	13243	GO:0010720,GO:0022008,GO:0050767,GO:0051962
query_1	FALSE	1	388	80	1	0.0125	0.00257731958762887	GO:0050767	GO:BP	regulation of neurogenesis	21017	13241	GO:0022008,GO:0051960,GO:0060284
query_1	FALSE	1	220	80	3	0.0375	0.0136363636363636	GO:0050730	GO:BP	regulation of peptidyl-tyrosine phosphorylation	21017	13229	GO:0001932,GO:0018108
query_1	FALSE	1	69	80	1	0.0125	0.0144927536231884	GO:0050766	GO:BP	positive regulation of phagocytosis	21017	13240	GO:0006909,GO:0045807,GO:0050764
query_1	FALSE	1	381	80	4	0.05	0.010498687664042	GO:0050727	GO:BP	regulation of inflammatory response	21017	13226	GO:0006954,GO:0031347,GO:0032101
query_1	FALSE	1	74	80	1	0.0125	0.0135135135135135	GO:0050818	GO:BP	regulation of coagulation	21017	13280	GO:0050817,GO:0051239
query_1	FALSE	1	70	80	1	0.0125	0.0142857142857143	GO:2000401	GO:BP	regulation of lymphocyte migration	21017	25716	GO:0071675,GO:0072676
query_1	FALSE	1	216	80	1	0.0125	0.00462962962962963	GO:0050821	GO:BP	protein stabilization	21017	13283	GO:0031647
query_1	FALSE	1	55	80	1	0.0125	0.0181818181818182	GO:0050885	GO:BP	neuromuscular process controlling balance	21017	13329	GO:0050905
query_1	FALSE	1	93	80	1	0.0125	0.010752688172043	GO:0050886	GO:BP	endocrine process	21017	13330	GO:0003008
query_1	FALSE	1	324	80	1	0.0125	0.00308641975308642	GO:0050890	GO:BP	cognition	21017	13334	GO:0050877
query_1	FALSE	1	8993	80	42	0.525	0.00467029912153897	GO:0050896	GO:BP	response to stimulus	21017	13339	GO:0008150
query_1	FALSE	1	396	80	1	0.0125	0.00252525252525253	GO:0050900	GO:BP	leukocyte migration	21017	13342	GO:0002376,GO:0016477
query_1	FALSE	1	168	80	1	0.0125	0.00595238095238095	GO:0050905	GO:BP	neuromuscular process	21017	13347	GO:0050877
query_1	FALSE	1	19	80	1	0.0125	0.0526315789473684	GO:0050884	GO:BP	neuromuscular process controlling posture	21017	13328	GO:0050905
query_1	FALSE	1	515	80	2	0.025	0.00388349514563107	GO:0050906	GO:BP	detection of stimulus involved in sensory perception	21017	13348	GO:0007600,GO:0051606
query_1	FALSE	1	22	80	1	0.0125	0.0454545454545455	GO:0050908	GO:BP	detection of light stimulus involved in visual perception	21017	13350	GO:0007601,GO:0050962
query_1	FALSE	1	397	80	1	0.0125	0.00251889168765743	GO:0050911	GO:BP	detection of chemical stimulus involved in sensory perception of smell	21017	13353	GO:0007608,GO:0050907
query_1	FALSE	1	71	80	1	0.0125	0.0140845070422535	GO:0050918	GO:BP	positive chemotaxis	21017	13360	GO:0006935
