structure,Metric,Eigengene,std_beta,std_se,std_stat,p_value,p_fdr,r_squared
Primary_Auditory_Cortex,rd_mean,Eigengene_1,-0.08581555061423343,0.04295401905869953,-1.9978468253916069,0.046236234849556405,0.07706039141592734,0.0073643087272240075
Primary_Auditory_Cortex,rd_mean,Eigengene_2,-0.1913346041896952,0.042316541916562096,-4.521508505278158,7.557823282329475e-6,2.720816381638611e-5,0.03660893076042746
Primary_Auditory_Cortex,rd_mean,Eigengene_3,0.10768490972560447,0.04286236206963464,2.512341936514335,0.012284767296538483,0.024210855255951756,0.011596039782611598
Primary_Auditory_Cortex,rd_mean,Eigengene_4,0.15921116345549866,0.042563134943184366,3.7405882735851708,2.0329911888956493e-4,5.544521424260861e-4,0.02534819456885339
Primary_Auditory_Cortex,rd_mean,Eigengene_5,-0.027296284902989843,0.04309699686857703,-0.6333686077066815,0.5267621061867618,0.582892494550925,7.450871695052097e-4
Primary_Auditory_Cortex,rd_mean,Eigengene_6,-0.2585647016746204,0.041646956070080156,-6.208489793096247,1.0701029230451145e-9,2.1402058460902292e-8,0.06685570495208554
Primary_Auditory_Cortex,rd_mean,Eigengene_7,-0.06511141971503366,0.0430215754427215,-1.5134596779637315,0.1307501477173779,0.18150406109867367,0.004239496977307257
Primary_Auditory_Cortex,rd_mean,Eigengene_8,0.217243775946722,0.04208340854474905,5.162219113399943,3.4399606701261204e-7,1.736054917633743e-6,0.04719485818758944
Primary_Auditory_Cortex,rd_mean,Eigengene_9,0.07979916235319329,0.042975572159001524,1.856849329613377,0.06387894796163267,0.1011572782970136,0.006367906312271318
Primary_Auditory_Cortex,rd_mean,Eigengene_10,-0.04608275054618707,0.04306725914890213,-1.070018186828632,0.2850909370282829,0.34041520151631693,0.0021236198979021053
Frontal_Association_Cortex,rd_mean,Eigengene_1,-0.09537085627104536,0.0429165438887746,-2.22223990166158,0.026682168190904618,0.048681773681062704,0.009095600225872372
Frontal_Association_Cortex,rd_mean,Eigengene_2,-0.11493695317363427,0.04282734197692932,-2.6837283816387605,0.007504868968320746,0.01552731510687051,0.013210503204838096
Frontal_Association_Cortex,rd_mean,Eigengene_3,0.10576425649424422,0.042871250192016,2.4670205795384272,0.013934632521956047,0.027164987587928756,0.011186077951780315
Frontal_Association_Cortex,rd_mean,Eigengene_4,0.15847013538110935,0.04256827483775042,3.7227286279540457,2.1784598811681264e-4,5.911398672516524e-4,0.025112783807707078
Frontal_Association_Cortex,rd_mean,Eigengene_5,-0.022460138906473887,0.043102185623265336,-0.5210904872153522,0.6025181492383115,0.652023648474325,5.044578396981009e-4
Frontal_Association_Cortex,rd_mean,Eigengene_6,-0.21837094043197103,0.04207256371790448,-5.1903407145840434,2.9801389484453917e-7,1.532642887771916e-6,0.047685867625143534
Frontal_Association_Cortex,rd_mean,Eigengene_7,-0.04603694370885858,0.043067350207892666,-1.0689523150746734,0.2855705301609103,0.34041520151631693,0.0021194001860526147
Frontal_Association_Cortex,rd_mean,Eigengene_8,0.23324925771820004,0.041923872939607296,5.563638122226999,4.170485007409681e-8,3.085016306850997e-7,0.05440521622609138
Frontal_Association_Cortex,rd_mean,Eigengene_9,0.08682249089045017,0.042950257713859505,2.0214661217837966,0.043726139124912175,0.07401916967853471,0.0075381449244223235
Frontal_Association_Cortex,rd_mean,Eigengene_10,-0.046946745174451354,0.04306552462236027,-1.0901236101527925,0.2761467097726663,0.3328554091009817,0.002203996882474869
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_1,-0.0664190287712495,0.04301785988173968,-1.543987286997585,0.12317939158915144,0.17322101942224422,0.004411487382916051
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_2,-0.19749519527195702,0.042263900241831326,-4.672905106767293,3.757525291638356e-6,1.43905223935086e-5,0.03900435215550842
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_3,0.15052615198079142,0.04262183231958173,3.531667781247294,4.484040063045141e-4,0.0011421611481341398,0.022658122430144374
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_4,0.19671560299223448,0.04227065763961015,4.653715224148775,4.1099704911866685e-6,1.5412389341950008e-5,0.038697028460598415
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_5,0.012641740001560329,0.043109616191709804,0.2932464057518424,0.7694468932556533,0.8015195123104449,1.598135902670482e-4
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_6,-0.24261428834982982,0.0418249651325969,-5.80070509516683,1.1276727866714044e-8,1.0499022496595833e-7,0.05886169291149435
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_7,-0.06959542360511678,0.04300852506944542,-1.6181774076823552,0.10621045040239945,0.15367624071446534,0.00484352298677564
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_8,0.2318410261853249,0.0419383894584281,5.528133749989134,5.053004427466999e-8,3.453952393458455e-7,0.05375026142266453
