query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	0.945455209310999	3129	41	15	0.365853658536585	0.00479386385426654	GO:0043412	GO:BP	macromolecule modification	21017	10679	GO:0043170
query_1	FALSE	1	31	41	1	0.024390243902439	0.032258064516129	GO:0000002	GO:BP	mitochondrial genome maintenance	21017	2	GO:0007005
query_1	FALSE	1	809	41	1	0.024390243902439	0.00123609394313968	GO:0048871	GO:BP	multicellular organismal-level homeostasis	21017	13114	GO:0032501,GO:0042592
query_1	FALSE	1	414	41	1	0.024390243902439	0.00241545893719807	GO:0048880	GO:BP	sensory system development	21017	13120	GO:0048731
query_1	FALSE	1	66	41	1	0.024390243902439	0.0151515151515152	GO:0050688	GO:BP	regulation of defense response to virus	21017	13219	GO:0002831,GO:0031347,GO:0032101,GO:0051607
query_1	FALSE	1	46	41	1	0.024390243902439	0.0217391304347826	GO:0050691	GO:BP	regulation of defense response to virus by host	21017	13221	GO:0050688
query_1	FALSE	1	220	41	1	0.024390243902439	0.00454545454545455	GO:0050730	GO:BP	regulation of peptidyl-tyrosine phosphorylation	21017	13229	GO:0001932,GO:0018108
query_1	FALSE	1	164	41	1	0.024390243902439	0.00609756097560976	GO:0050731	GO:BP	positive regulation of peptidyl-tyrosine phosphorylation	21017	13230	GO:0001934,GO:0018108,GO:0050730
query_1	FALSE	1	897	41	1	0.024390243902439	0.00111482720178372	GO:0050776	GO:BP	regulation of immune response	21017	13250	GO:0002682,GO:0006955,GO:0048583
query_1	FALSE	1	732	41	1	0.024390243902439	0.00136612021857923	GO:0050778	GO:BP	positive regulation of immune response	21017	13252	GO:0002684,GO:0006955,GO:0048584,GO:0050776
query_1	FALSE	1	101	41	1	0.024390243902439	0.0099009900990099	GO:0050779	GO:BP	RNA destabilization	21017	13253	GO:0006401,GO:0009896,GO:0043487,GO:0051254
query_1	FALSE	1	12278	41	24	0.585365853658537	0.0019547157517511	GO:0050789	GO:BP	regulation of biological process	21017	13258	GO:0008150,GO:0065007
query_1	FALSE	1	1015	41	5	0.121951219512195	0.00492610837438424	GO:0050790	GO:BP	regulation of catalytic activity	21017	13259	GO:0065009
query_1	FALSE	1	2453	41	4	0.0975609756097561	0.00163065633917652	GO:0050793	GO:BP	regulation of developmental process	21017	13261	GO:0032502,GO:0050789
query_1	FALSE	1	11876	41	23	0.560975609756098	0.00193667901650387	GO:0050794	GO:BP	regulation of cellular process	21017	13262	GO:0009987,GO:0050789
query_1	FALSE	1	75	41	1	0.024390243902439	0.0133333333333333	GO:0050795	GO:BP	regulation of behavior	21017	13263	GO:0007610,GO:0051239
query_1	FALSE	1	490	41	1	0.024390243902439	0.00204081632653061	GO:0050804	GO:BP	modulation of chemical synaptic transmission	21017	13270	GO:0007268,GO:0099177
query_1	FALSE	1	177	41	1	0.024390243902439	0.00564971751412429	GO:0050806	GO:BP	positive regulation of synaptic transmission	21017	13272	GO:0007268,GO:0010647,GO:0023056,GO:0050804
query_1	FALSE	1	159	41	1	0.024390243902439	0.00628930817610063	GO:0051017	GO:BP	actin filament bundle assembly	21017	13442	GO:0022607,GO:0061572
query_1	FALSE	1	222	41	1	0.024390243902439	0.0045045045045045	GO:0050953	GO:BP	sensory perception of light stimulus	21017	13395	GO:0007600
query_1	FALSE	1	168	41	2	0.0487804878048781	0.0119047619047619	GO:0050905	GO:BP	neuromuscular process	21017	13347	GO:0050877
query_1	FALSE	1	396	41	1	0.024390243902439	0.00252525252525253	GO:0050900	GO:BP	leukocyte migration	21017	13342	GO:0002376,GO:0016477
query_1	FALSE	1	8993	41	21	0.51219512195122	0.00233514956076949	GO:0050896	GO:BP	response to stimulus	21017	13339	GO:0008150
query_1	FALSE	1	324	41	1	0.024390243902439	0.00308641975308642	GO:0050890	GO:BP	cognition	21017	13334	GO:0050877
query_1	FALSE	1	1716	41	6	0.146341463414634	0.0034965034965035	GO:0048870	GO:BP	cell motility	21017	13113	GO:0009987
query_1	FALSE	1	55	41	1	0.024390243902439	0.0181818181818182	GO:0050885	GO:BP	neuromuscular process controlling balance	21017	13329	GO:0050905
query_1	FALSE	1	61	41	1	0.024390243902439	0.0163934426229508	GO:0050879	GO:BP	multicellular organismal movement	21017	13324	GO:0032501
query_1	FALSE	1	371	41	1	0.024390243902439	0.00269541778975741	GO:0050878	GO:BP	regulation of body fluid levels	21017	13323	GO:0065008
query_1	FALSE	1	1489	41	3	0.0731707317073171	0.00201477501678979	GO:0050877	GO:BP	nervous system process	21017	13322	GO:0003008
query_1	FALSE	1	616	41	1	0.024390243902439	0.00162337662337662	GO:0050865	GO:BP	regulation of cell activation	21017	13313	GO:0001775,GO:0050794,GO:0051239
query_1	FALSE	1	375	41	1	0.024390243902439	0.00266666666666667	GO:0050863	GO:BP	regulation of T cell activation	21017	13311	GO:0042110,GO:0051249
query_1	FALSE	1	485	41	1	0.024390243902439	0.00206185567010309	GO:0050808	GO:BP	synapse organization	21017	13274	GO:0034330
query_1	FALSE	1	59	41	1	0.024390243902439	0.0169491525423729	GO:0050881	GO:BP	musculoskeletal movement	21017	13325	GO:0050879,GO:0050905
query_1	FALSE	1	1589	41	2	0.0487804878048781	0.0012586532410321	GO:0051049	GO:BP	regulation of transport	21017	13459	GO:0006810,GO:0032879
query_1	FALSE	1	4382	41	11	0.268292682926829	0.00251026928343222	GO:0048869	GO:BP	cellular developmental process	21017	13112	GO:0009987,GO:0032502
query_1	FALSE	1	5924	41	14	0.341463414634146	0.00236326806212019	GO:0048856	GO:BP	anatomical structure development	21017	13100	GO:0032502
query_1	FALSE	1	2833	41	7	0.170731707317073	0.00247087892693258	GO:0048468	GO:BP	cell development	21017	12769	GO:0030154,GO:0048856,GO:0048869
query_1	FALSE	1	3047	41	7	0.170731707317073	0.00229734164752215	GO:0048513	GO:BP	animal organ development	21017	12798	GO:0048856
query_1	FALSE	1	628	41	1	0.024390243902439	0.00159235668789809	GO:0048514	GO:BP	blood vessel morphogenesis	21017	12799	GO:0001568,GO:0035239
query_1	FALSE	1	6235	41	14	0.341463414634146	0.00224538893344026	GO:0048518	GO:BP	positive regulation of biological process	21017	12801	GO:0008150,GO:0050789
query_1	FALSE	1	5865	41	11	0.268292682926829	0.00187553282182438	GO:0048519	GO:BP	negative regulation of biological process	21017	12802	GO:0008150,GO:0050789
query_1	FALSE	1	5886	41	14	0.341463414634146	0.00237852531430513	GO:0048522	GO:BP	positive regulation of cellular process	21017	12805	GO:0009987,GO:0048518,GO:0050794
query_1	FALSE	1	5646	41	10	0.24390243902439	0.00177116542685087	GO:0048523	GO:BP	negative regulation of cellular process	21017	12806	GO:0009987,GO:0048519,GO:0050794
query_1	FALSE	1	463	41	1	0.024390243902439	0.00215982721382289	GO:0048568	GO:BP	embryonic organ development	21017	12840	GO:0009790,GO:0048513
query_1	FALSE	1	3958	41	12	0.292682926829268	0.00303183425972713	GO:0048583	GO:BP	regulation of response to stimulus	21017	12854	GO:0050789,GO:0050896
query_1	FALSE	1	2293	41	5	0.121951219512195	0.00218054949847362	GO:0048584	GO:BP	positive regulation of response to stimulus	21017	12855	GO:0048518,GO:0048583,GO:0050896
query_1	FALSE	1	1663	41	5	0.121951219512195	0.00300661455201443	GO:0048585	GO:BP	negative regulation of response to stimulus	21017	12856	GO:0048519,GO:0048583,GO:0050896
query_1	FALSE	1	234	41	1	0.024390243902439	0.00427350427350427	GO:0048588	GO:BP	developmental cell growth	21017	12859	GO:0016049,GO:0048468,GO:0048589
query_1	FALSE	1	669	41	1	0.024390243902439	0.00149476831091181	GO:0048589	GO:BP	developmental growth	21017	12860	GO:0032502,GO:0040007
query_1	FALSE	1	169	41	1	0.024390243902439	0.00591715976331361	GO:0048592	GO:BP	eye morphogenesis	21017	12861	GO:0001654,GO:0090596
query_1	FALSE	1	134	41	1	0.024390243902439	0.00746268656716418	GO:0048593	GO:BP	camera-type eye morphogenesis	21017	12862	GO:0043010,GO:0048592
