query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	0.38973569195186	16	31	2	0.0645161290322581	0.125	GO:0090399	GO:BP	replicative senescence	21017	18270	GO:0008152
query_1	FALSE	0.966313016525618	25	31	2	0.0645161290322581	0.08	GO:0009110	GO:BP	vitamin biosynthetic process	21017	3279	GO:0006766,GO:0044283
query_1	FALSE	1	113	31	1	0.032258064516129	0.00884955752212389	GO:0000045	GO:BP	autophagosome assembly	21017	17	GO:0070925,GO:1905037
query_1	FALSE	1	1489	31	2	0.0645161290322581	0.00134318334452653	GO:0050877	GO:BP	nervous system process	21017	13322	GO:0003008
query_1	FALSE	1	139	31	1	0.032258064516129	0.00719424460431655	GO:0050852	GO:BP	T cell receptor signaling pathway	21017	13300	GO:0050851
query_1	FALSE	1	192	31	1	0.032258064516129	0.00520833333333333	GO:0050851	GO:BP	antigen receptor-mediated signaling pathway	21017	13299	GO:0002429
query_1	FALSE	1	59	31	1	0.032258064516129	0.0169491525423729	GO:0050832	GO:BP	defense response to fungus	21017	13290	GO:0009620,GO:0098542
query_1	FALSE	1	216	31	1	0.032258064516129	0.00462962962962963	GO:0050821	GO:BP	protein stabilization	21017	13283	GO:0031647
query_1	FALSE	1	485	31	1	0.032258064516129	0.00206185567010309	GO:0050808	GO:BP	synapse organization	21017	13274	GO:0034330
query_1	FALSE	1	177	31	1	0.032258064516129	0.00564971751412429	GO:0050806	GO:BP	positive regulation of synaptic transmission	21017	13272	GO:0007268,GO:0010647,GO:0023056,GO:0050804
query_1	FALSE	1	55	31	1	0.032258064516129	0.0181818181818182	GO:0050805	GO:BP	negative regulation of synaptic transmission	21017	13271	GO:0007268,GO:0010648,GO:0023057,GO:0050804
query_1	FALSE	1	490	31	1	0.032258064516129	0.00204081632653061	GO:0050804	GO:BP	modulation of chemical synaptic transmission	21017	13270	GO:0007268,GO:0099177
query_1	FALSE	1	608	31	1	0.032258064516129	0.00164473684210526	GO:0050801	GO:BP	monoatomic ion homeostasis	21017	13267	GO:0048878
query_1	FALSE	1	11876	31	18	0.580645161290323	0.00151566183900303	GO:0050794	GO:BP	regulation of cellular process	21017	13262	GO:0009987,GO:0050789
query_1	FALSE	1	2453	31	5	0.161290322580645	0.00203832042397065	GO:0050793	GO:BP	regulation of developmental process	21017	13261	GO:0032502,GO:0050789
query_1	FALSE	1	169	31	1	0.032258064516129	0.00591715976331361	GO:0050792	GO:BP	regulation of viral process	21017	13260	GO:0016032,GO:0050789
query_1	FALSE	1	1015	31	2	0.0645161290322581	0.00197044334975369	GO:0050790	GO:BP	regulation of catalytic activity	21017	13259	GO:0065009
query_1	FALSE	1	8993	31	12	0.387096774193548	0.00133437117758256	GO:0050896	GO:BP	response to stimulus	21017	13339	GO:0008150
query_1	FALSE	1	396	31	1	0.032258064516129	0.00252525252525253	GO:0050900	GO:BP	leukocyte migration	21017	13342	GO:0002376,GO:0016477
query_1	FALSE	1	128	31	1	0.032258064516129	0.0078125	GO:0051028	GO:BP	mRNA transport	21017	13445	GO:0050658
query_1	FALSE	1	621	31	5	0.161290322580645	0.00805152979066022	GO:0051046	GO:BP	regulation of secretion	21017	13456	GO:0046903,GO:0051049
